match_date,event,team1,team2,source,source_url,scientific_role,notes
2026-09-09,PGL Masters Bucharest 2026 East Asia Closed Qualifier,TYLOO,The Huns,HLTV,https://www.hltv.org/matches/2397719/tyloo-vs-the-huns-pgl-masters-bucharest-2026-east-asia-closed-qualifier,confirm_candidate,Sep 9 chronology backfill
2026-09-09,FISSURE Playground 3,BIG,G2,HLTV,https://www.hltv.org/matches/2397605/big-vs-g2-fissure-playground-3,confirm_candidate,Sep 9 chronology backfill
2026-09-09,ESEA Intermediate Season 58 Oceania,Abyssal,madlikewizards,HLTV,https://www.hltv.org/matches/2398079/abyssal-vs-madlikewizards-esea-intermediate-season-58-oceania,confirm_candidate,Sep 9 chronology backfill
2026-09-09,FISSURE Playground 3,TYLOO,GamerLegion,HLTV,https://www.hltv.org/matches/2397609/tyloo-vs-gamerlegion-fissure-playground-3,confirm_candidate,Sep 9 chronology backfill
2026-09-09,PGL Masters Bucharest 2026 West Asia Closed Qualifier,DEPO,OxinGame,HLTV,https://www.hltv.org/matches/2397779/depo-vs-oxingame-pgl-masters-bucharest-2026-west-asia-closed-qualifier,confirm_candidate,Sep 9 chronology backfill
2026-09-09,CCT 2026 Challengers Europe Series 6,NAVI Junior,Fire Flux,HLTV,https://www.hltv.org/matches/2397526/navi-junior-vs-fire-flux-cct-2026-challengers-europe-series-6,confirm_candidate,Sep 9 chronology backfill
2026-09-09,CCT 2026 Europe Series 8,EAC,Just Players,HLTV,https://www.hltv.org/matches/2397273/eac-vs-just-players-cct-2026-europe-series-8,confirm_candidate,Sep 9 chronology backfill
2026-09-09,PGL Masters Bucharest 2026 South America Closed Qualifier,ShindeN,Fluxo,HLTV,https://www.hltv.org/matches/2397728/shinden-vs-fluxo-pgl-masters-bucharest-2026-south-america-closed-qualifier,confirm_candidate,Sep 9 chronology backfill
2026-09-09,PGL Masters Bucharest 2026 West Asia Closed Qualifier,Revenge,DEPO,HLTV,https://www.hltv.org/matches/2397780/revenge-vs-depo-pgl-masters-bucharest-2026-west-asia-closed-qualifier,confirm_candidate,Sep 9 chronology backfill
2026-09-09,PGL Masters Bucharest 2026 South America Closed Qualifier,DENDELE,Turma do Pagode,HLTV,https://www.hltv.org/matches/2397729/dendele-vs-turma-do-pagode-pgl-masters-bucharest-2026-south-america-closed-qualifier,confirm_candidate,Sep 9 chronology backfill
2026-09-09,ESEA Advanced Season 58 Europe,NEXORA,ROUNDS,HLTV,https://www.hltv.org/matches/2397445/nexora-vs-rounds-esea-advanced-season-58-europe,confirm_candidate,Sep 9 chronology backfill
2026-09-09,Thunderpick World Championship 2026 Closed Qualifier,1win,INFINITE,HLTV,https://www.hltv.org/matches/2397863/1win-vs-infinite-thunderpick-world-championship-2026-closed-qualifier,confirm_candidate,Sep 9 chronology reconciliation
2026-09-09,ESEA Advanced Season 58 Europe,Banda Chuya,JUMBO,HLTV,https://www.hltv.org/matches/2397443/banda-chuya-vs-jumbo-esea-advanced-season-58-europe,confirm_candidate,Sep 9 chronology reconciliation
2026-09-09,ESEA Advanced Season 58 Europe,Dark Moon,Spirit Academy Green,HLTV,https://www.hltv.org/matches/2397435/dark-moon-vs-spirit-academy-green-esea-advanced-season-58-europe,confirm_candidate,Sep 9 chronology reconciliation
2026-09-09,1win Private Club Season 1 Closed Qualifier,K27,WW,HLTV,https://www.hltv.org/matches/2397650/k27-vs-ww-1win-private-club-season-1-closed-qualifier,confirm_candidate,Sep 9 chronology reconciliation
2026-09-09,Thunderpick World Championship 2026 Closed Qualifier,Ninjas in Pyjamas,FOKUS,HLTV,https://www.hltv.org/matches/2397862/ninjas-in-pyjamas-vs-fokus-thunderpick-world-championship-2026-closed-qualifier,confirm_candidate,Sep 9 chronology reconciliation
