selection_rank,demo_filename,sha256,match_date,event,team1,team2,source,source_url,scientific_role,map_name,measured_raw_ticks_per_sec,n_rounds,n_observations
1,2026-09-09_1win_vs_infinite_mirage.dem,b62091dfb1ea7dde1ea2dde60d012f7280dc9d852c793a6f6322b991469f94e3,2026-09-09,Thunderpick World Championship 2026 Closed Qualifier,1win,INFINITE,HLTV,https://www.hltv.org/matches/2397863/1win-vs-infinite-thunderpick-world-championship-2026-closed-qualifier,confirm_candidate,de_mirage,64.0,30,117
2,2026-09-09_9z_vs_mibr_mirage.dem,b6666f8a39e776bd2bed783d2e8b17da686ed5d2dad11c6086fcb3f732f89a6b,2026-09-09,FISSURE Playground 3,9z,MIBR,HLTV,https://www.hltv.org/matches/2397604/9z-vs-mibr-fissure-playground-3,confirm_candidate,de_mirage,64.0,19,74
3,2026-09-09_abyssal_vs_madlikewizards_mirage.dem,658899733fd891d2d9f87e18407a6cd2a7f32c397c63cc6e166c171d81b934db,2026-09-09,ESEA Intermediate Season 58 Oceania,Abyssal,madlikewizards,HLTV,https://www.hltv.org/matches/2398079/abyssal-vs-madlikewizards-esea-intermediate-season-58-oceania,confirm_candidate,de_mirage,64.0,22,78
4,2026-09-09_azuolas_vs_bushido-wildcats_mirage.dem,776dafb90989c2b17da0972134d96b35f8b9bfd3bf49a6dfc73da2f8a6a1dc24,2026-09-09,NODWIN Clutch Series 12 Closed Qualifier,Azuolas,Bushido Wildcats,HLTV,https://www.hltv.org/matches/2397884/azuolas-vs-bushido-wildcats-nodwin-clutch-series-12-closed-qualifier,confirm_candidate,de_mirage,64.0,18,62
5,2026-09-09_banda-chuya_vs_jumbo_mirage.dem,22e8341bcbb2ef3b5aeb945541a89d9370c4a535b7da99080c81bb95eff6a84a,2026-09-09,ESEA Advanced Season 58 Europe,Banda Chuya,JUMBO,HLTV,https://www.hltv.org/matches/2397443/banda-chuya-vs-jumbo-esea-advanced-season-58-europe,confirm_candidate,de_mirage,64.0,19,70
6,2026-09-09_big_vs_g2_mirage.dem,2102637aa45546824a48053f44573097d05303cc405731d151e9c51741145710,2026-09-09,FISSURE Playground 3,BIG,G2,HLTV,https://www.hltv.org/matches/2397605/big-vs-g2-fissure-playground-3,confirm_candidate,de_mirage,64.0,20,80
7,2026-09-09_dark-moon_vs_spirit-academy-green_mirage.dem,8e43365d00db9c7647737c84c445c5a2cbdc616578c780eccc0ad29f7c5818df,2026-09-09,ESEA Advanced Season 58 Europe,Dark Moon,Spirit Academy Green,HLTV,https://www.hltv.org/matches/2397435/dark-moon-vs-spirit-academy-green-esea-advanced-season-58-europe,confirm_candidate,de_mirage,64.0,19,73
8,2026-09-09_dendele_vs_turma-do-pagode_mirage.dem,922a6db8a7754ede1efed43974a4ca8fa7bb51569c8cb4128ce897ae31ae0065,2026-09-09,PGL Masters Bucharest 2026 South America Closed Qualifier,DENDELE,Turma do Pagode,HLTV,https://www.hltv.org/matches/2397729/dendele-vs-turma-do-pagode-pgl-masters-bucharest-2026-south-america-closed-qualifier,confirm_candidate,de_mirage,64.0,23,90
9,2026-09-09_depo_vs_oxingame_mirage.dem,a23c00c1205a67d978b882702428e79bb4f16940d9e474c2c7f5dccf30ecdc58,2026-09-09,PGL Masters Bucharest 2026 West Asia Closed Qualifier,DEPO,OxinGame,HLTV,https://www.hltv.org/matches/2397779/depo-vs-oxingame-pgl-masters-bucharest-2026-west-asia-closed-qualifier,confirm_candidate,de_mirage,64.0,24,90
10,2026-09-09_eac_vs_just-players_mirage.dem,0e4a8e86851918810ac5773a314fc21c6dd9f7af7ce637c88549b01ef9b2d003,2026-09-09,CCT 2026 Europe Series 8,EAC,Just Players,HLTV,https://www.hltv.org/matches/2397273/eac-vs-just-players-cct-2026-europe-series-8,confirm_candidate,de_mirage,64.0,24,92
11,2026-09-09_fire-flux_vs_drama_mirage.dem,4b36e4dae2c2dc76d77fcd5a29f16c943c0ff9d870b8fb001cdf0d91db51a996,2026-09-09,ESEA Advanced Season 58 Europe,Fire Flux,Drama,HLTV,https://www.hltv.org/matches/2397434/fire-flux-vs-drama-esea-advanced-season-58-europe,confirm_candidate,de_mirage,64.0,20,72
12,2026-09-09_hotu_vs_wildcard_mirage.dem,48b750b545adb21462efb69fda18c360a769c9e040547dced8a1b64e47c9aaf0,2026-09-09,Thunderpick World Championship 2026 Closed Qualifier,HOTU,Wildcard,HLTV,https://www.hltv.org/matches/2397856/hotu-vs-wildcard-thunderpick-world-championship-2026-closed-qualifier,confirm_candidate,de_mirage,64.0,20,77
13,2026-09-09_k27_vs_virtus-pro_mirage.dem,1a4109a13e27d95f2f3555bc3807f66efce857599c48cbc3d849f4a5d6924467,2026-09-09,Thunderpick World Championship 2026 Closed Qualifier,K27,Virtus.pro,HLTV,https://www.hltv.org/matches/2397857/k27-vs-virtuspro-thunderpick-world-championship-2026-closed-qualifier,confirm_candidate,de_mirage,64.0,16,60
14,2026-09-09_k27_vs_ww_mirage.dem,6ebca79a2c5a250304ecdb218eb502f580a057925338c0f67ec00998904224d2,2026-09-09,1win Private Club Season 1 Closed Qualifier,K27,WW,HLTV,https://www.hltv.org/matches/2397650/k27-vs-ww-1win-private-club-season-1-closed-qualifier,confirm_candidate,de_mirage,64.0,18,65
15,2026-09-09_mai-tai_vs_permitta_mirage.dem,351b9a2113ce6a8c6c704d1f11c2620f1f3895b81305bc2fb02309df91117fdb,2026-09-09,CCT 2026 Europe Series 9 Closed Qualifier,Mai Tai,Permitta,HLTV,https://www.hltv.org/matches/2397787/mai-tai-vs-permitta-cct-2026-europe-series-9-closed-qualifier,confirm_candidate,de_mirage,64.0,21,72
16,2026-09-09_navi-junior_vs_fire-flux_mirage.dem,29624cb344b2883e5b08c3f4679ada132671b7d5257a142970d8332b3e3b0cc4,2026-09-09,CCT 2026 Challengers Europe Series 6,NAVI Junior,Fire Flux,HLTV,https://www.hltv.org/matches/2397526/navi-junior-vs-fire-flux-cct-2026-challengers-europe-series-6,confirm_candidate,de_mirage,64.0,14,49
17,2026-09-09_nemesis_vs_sinners_mirage.dem,54755e9c4acdae35ae24ff2e2dc458a0b6d5a8f846c4987ffcdf9c657dd54464,2026-09-09,1win Private Club Season 1 Closed Qualifier,Nemesis,SINNERS,HLTV,https://www.hltv.org/matches/2397647/nemesis-vs-sinners-1win-private-club-season-1-closed-qualifier,confirm_candidate,de_mirage,64.0,21,75
18,2026-09-09_nexora_vs_rounds_mirage.dem,54c49dcbe244dd729c310dda22232df0223f3ba207ef3d58a1cdfc7b4918e7a0,2026-09-09,ESEA Advanced Season 58 Europe,NEXORA,ROUNDS,HLTV,https://www.hltv.org/matches/2397445/nexora-vs-rounds-esea-advanced-season-58-europe,confirm_candidate,de_mirage,64.0,22,84
