scope,target,bin,lower,upper,n,mean_probability,observed_rate,absolute_gap
overall,TOP_LABEL,4,0.3,0.4,46,0.38000005604672327,0.3695652173913043,0.010434838655418943
overall,TOP_LABEL,5,0.4,0.5,296,0.46083549485471254,0.4391891891891892,0.021646305665523335
overall,TOP_LABEL,6,0.5,0.6,419,0.5465476242826539,0.4701670644391408,0.07638055984351311
overall,TOP_LABEL,7,0.6,0.7,369,0.6468695970921692,0.5880758807588076,0.05879371633336161
overall,TOP_LABEL,8,0.7,0.8,213,0.7468806795474819,0.647887323943662,0.09899335560381994
overall,TOP_LABEL,9,0.8,0.9,190,0.8488113899637076,0.8368421052631579,0.011969284700549698
overall,TOP_LABEL,10,0.9,1.0,153,0.9351858510744944,0.9477124183006536,0.012526567226159191
overall,A_PLANT,1,0.0,0.1,316,0.05167107533270226,0.0379746835443038,0.01369639178839846
overall,A_PLANT,2,0.1,0.2,272,0.14717087799172937,0.22058823529411764,0.07341735730238827
overall,A_PLANT,3,0.2,0.3,268,0.2538445485913078,0.31343283582089554,0.059588287229587755
overall,A_PLANT,4,0.3,0.4,203,0.34868627308511574,0.3645320197044335,0.015845746619317758
overall,A_PLANT,5,0.4,0.5,193,0.45101061658182745,0.41450777202072536,0.03650284456110209
overall,A_PLANT,6,0.5,0.6,135,0.5474938993935167,0.4666666666666667,0.08082723272685
overall,A_PLANT,7,0.6,0.7,122,0.6460285334522673,0.5983606557377049,0.04766787771456238
overall,A_PLANT,8,0.7,0.8,90,0.7495138176043975,0.6222222222222222,0.12729159538217527
overall,A_PLANT,9,0.8,0.9,74,0.841751005915586,0.8243243243243243,0.017426681591261706
overall,A_PLANT,10,0.9,1.0,13,0.9230016428183132,0.9230769230769231,0.00007528025860992216
overall,B_PLANT,1,0.0,0.1,876,0.042486871961228224,0.04908675799086758,0.006599886029639353
overall,B_PLANT,2,0.1,0.2,315,0.14122428738365933,0.18412698412698414,0.04290269674332481
overall,B_PLANT,3,0.2,0.3,161,0.24427192592183644,0.2484472049689441,0.004175279047107655
overall,B_PLANT,4,0.3,0.4,94,0.34659984873441946,0.32978723404255317,0.01681261469186629
overall,B_PLANT,5,0.4,0.5,65,0.4483280451414759,0.46153846153846156,0.01321041639698567
overall,B_PLANT,6,0.5,0.6,59,0.5472306960303184,0.5254237288135594,0.02180696721675901
overall,B_PLANT,7,0.6,0.7,59,0.6507506991870722,0.559322033898305,0.09142866528876714
overall,B_PLANT,8,0.7,0.8,35,0.7478161429726262,0.7428571428571429,0.004959000115483336
overall,B_PLANT,9,0.8,0.9,15,0.8547102010994664,0.8,0.05471020109946634
overall,B_PLANT,10,0.9,1.0,7,0.917747907612185,1.0,0.08225209238781495
overall,NO_PLANT,1,0.0,0.1,48,0.07068478424285041,0.020833333333333332,0.04985145090951708
overall,NO_PLANT,2,0.1,0.2,171,0.15395100320657845,0.2222222222222222,0.06827121901564376
overall,NO_PLANT,3,0.2,0.3,217,0.24940674531583631,0.31797235023041476,0.06856560491457844
overall,NO_PLANT,4,0.3,0.4,257,0.35045085561506467,0.3657587548638132,0.015307899248748535
overall,NO_PLANT,5,0.4,0.5,258,0.4495425426294198,0.4496124031007752,0.00006986047135543183
overall,NO_PLANT,6,0.5,0.6,225,0.5458007426245266,0.4577777777777778,0.08802296484674882
overall,NO_PLANT,7,0.6,0.7,188,0.6461973882648753,0.5904255319148937,0.05577185634998161
overall,NO_PLANT,8,0.7,0.8,88,0.7438156381269997,0.6363636363636364,0.10745200176336334
overall,NO_PLANT,9,0.8,0.9,101,0.8531082835530602,0.8514851485148515,0.0016231350382087673
overall,NO_PLANT,10,0.9,1.0,133,0.9372945752216113,0.9473684210526315,0.010073845831020223
