scope,target,n,ece,max_bin_gap
overall,TOP_LABEL,1686,0.050926428575864206,0.09899335560381994
overall,A_PLANT,1686,0.04745132366413978,0.12729159538217527
overall,B_PLANT,1686,0.018183877458250224,0.09142866528876714
overall,NO_PLANT,1686,0.043978617345319854,0.10745200176336334
10s,TOP_LABEL,442,0.040389038658301325,0.11110940993163343
10s,A_PLANT,442,0.04290738772690826,
10s,B_PLANT,442,0.051643457579203744,
10s,NO_PLANT,442,0.0490352866498886,
20s,TOP_LABEL,442,0.04555370072844473,0.09505110509228776
20s,A_PLANT,442,0.037445909835650965,
20s,B_PLANT,442,0.03038479556394359,
20s,NO_PLANT,442,0.051326813593803665,
30s,TOP_LABEL,429,0.06065331217605032,0.1014034689601287
30s,A_PLANT,429,0.04665996952681674,
30s,B_PLANT,429,0.02772434575002686,
30s,NO_PLANT,429,0.039129150226602454,
40s,TOP_LABEL,373,0.06235020343207022,0.3803663511321518
40s,A_PLANT,373,0.05497760091689192,
40s,B_PLANT,373,0.024072936556264607,
40s,NO_PLANT,373,0.025854626844397266,
