demo_filename,n,lr_a3_log_loss,xgb_a5_log_loss,delta_log_loss,lr_a3_brier,xgb_a5_brier,delta_brier
2026-09-08_mouz-nxt_vs_unity_mirage.dem,41,1.3789194938043616,1.0374520537995358,-0.3414674400048259,0.7368516236691588,0.6612872502070772,-0.07556437346208156
2026-06-03_illwill_vs_ex-zero-tenacity_mirage.dem,68,0.7250386668102614,0.5595341952325995,-0.1655044715776619,0.4576354204636782,0.33631265492210993,-0.12132276554156829
2026-09-07_lavked_vs_leo_mirage.dem,49,0.9568268928565156,0.8231137988282099,-0.13371309402830567,0.5765138234811095,0.5031735659024196,-0.0733402575786899
2026-07-17_ground-zero_vs_arcade_mirage.dem,59,0.8113245073260805,0.7065971579084414,-0.10472734941763917,0.4738956473961968,0.41745992684231525,-0.05643572055388152
2026-08-18_pcific_vs_just-players_mirage.dem,61,0.867778494759414,0.7949547490890019,-0.07282374567041217,0.4930459375505211,0.4871322972633789,-0.005913640287142197
2026-08-14_b8_vs_vitality_mirage.dem,89,0.6620932552284005,0.6166517947313764,-0.04544146049702402,0.39598871859183554,0.36317184138016356,-0.03281687721167198
2026-06-06_pain_vs_tyloo_mirage.dem,61,0.5770398389568255,0.5360948507276632,-0.04094498822916237,0.3237685924626847,0.29103872962981453,-0.03272986283287016
2026-08-16_eac_vs_lavked_mirage.dem,48,0.8388367257554904,0.7994316910193279,-0.039405034736162525,0.4941345421706577,0.4777328776199514,-0.016401664550706296
2026-06-16_illwill_vs_ex-ruby_mirage.dem,101,0.8949367109156355,0.8612086889759633,-0.03372802193967228,0.5448825862528173,0.5052650355987818,-0.039617550654035494
2026-08-23_just-players_vs_ex-zero-tenacity_mirage.dem,55,1.0187443035293207,0.9887771494047125,-0.029967154124608153,0.605115976190201,0.5893164339816264,-0.015799542208574602
2026-07-09_bounty-hunters_vs_imperial_mirage.dem,88,1.131018993840499,1.1040278968795887,-0.0269910969609104,0.6146318055710964,0.6084214907995507,-0.006210314771545766
2026-05-12_legacy_vs_m80_mirage.dem,56,0.8423755005345511,0.8256775343028256,-0.01669796623172548,0.5269493860690638,0.5146411687216272,-0.01230821734743659
2026-08-26_navi_vs_m80_mirage.dem,63,0.7641318815447564,0.7516255930569519,-0.012506288487804551,0.4940301782987543,0.466499342161909,-0.02753083613684526
2026-06-10_ground-zero_vs_masked-regime_mirage.dem,52,0.856523359746595,0.8569451883963602,0.0004218286497652546,0.5194218582374263,0.5217820030281417,0.002360144790715446
havu-vs-mellren-m1-mirage.dem,49,0.6387902814392238,0.6461982031755974,0.007407921736373613,0.39149907428827174,0.39810743095634676,0.006608356668075022
2026-08-26_ex-zero-tenacity_vs_honved_mirage.dem,55,0.7331212446694355,0.748434537287127,0.015313292617691543,0.4251067029471745,0.4383712517488463,0.013264548801671772
2026-08-29_sinners_vs_ex-zero-tenacity_mirage.dem,65,1.1743872264239101,1.21034041005057,0.03595318362665978,0.6931735403040072,0.7358678999189534,0.042694359614946165
2026-06-16_ground-zero_vs_rooster_mirage.dem,60,0.6835869328773484,0.7197464240798433,0.03615949120249495,0.4004771479599722,0.43135194830454143,0.030874800344569242
2026-06-14_detonate_vs_iowa-stormboar_mirage.dem,93,0.7388580600394773,0.8069163492908485,0.06805828925137125,0.4479512532786738,0.4836017333887197,0.0356504801100459
2026-07-26_los-kogutos_vs_megoshort_mirage.dem,55,0.5193984692877616,0.617457454479887,0.09805898519212541,0.3017775255989212,0.3659556056688766,0.0641780800699554
