scope,target,bin,lower,upper,n,mean_probability,observed_rate,absolute_gap
overall,TOP_LABEL,4,0.3,0.4,22,0.38170681582125,0.36363636363636365,0.018070452184886343
overall,TOP_LABEL,5,0.4,0.5,197,0.461865497153454,0.4467005076142132,0.01516498953924078
overall,TOP_LABEL,6,0.5,0.6,291,0.5457572929796969,0.5154639175257731,0.030293375453923743
overall,TOP_LABEL,7,0.6,0.7,225,0.6463786286100152,0.5244444444444445,0.12193418416557067
overall,TOP_LABEL,8,0.7,0.8,199,0.7491376661545879,0.6884422110552764,0.06069545509931151
overall,TOP_LABEL,9,0.8,0.9,177,0.8541597786687161,0.8305084745762712,0.02365130409244487
overall,TOP_LABEL,10,0.9,1.0,157,0.9380668520187113,0.9490445859872612,0.010977733968549841
overall,A_PLANT,1,0.0,0.1,280,0.051751534011108866,0.039285714285714285,0.01246581972539458
overall,A_PLANT,2,0.1,0.2,233,0.14761864011325423,0.1759656652360515,0.02834702512279727
overall,A_PLANT,3,0.2,0.3,180,0.24389393154548292,0.37777777777777777,0.13388384623229485
overall,A_PLANT,4,0.3,0.4,119,0.3501016284798717,0.37815126050420167,0.028049632024329973
overall,A_PLANT,5,0.4,0.5,115,0.44804234726957975,0.3826086956521739,0.06543365161740583
overall,A_PLANT,6,0.5,0.6,99,0.5432763088648014,0.46464646464646464,0.07862984421833674
overall,A_PLANT,7,0.6,0.7,80,0.6450366484553014,0.475,0.17003664845530142
overall,A_PLANT,8,0.7,0.8,75,0.7486751932632719,0.72,0.028675193263271948
overall,A_PLANT,9,0.8,0.9,70,0.8511525378232635,0.8714285714285714,0.02027603360530794
overall,A_PLANT,10,0.9,1.0,17,0.9225934435865623,0.8235294117647058,0.09906403182185641
overall,B_PLANT,1,0.0,0.1,729,0.03989703086824549,0.05212620027434842,0.012229169406102934
overall,B_PLANT,2,0.1,0.2,180,0.14296012627010374,0.2111111111111111,0.06815098484100737
overall,B_PLANT,3,0.2,0.3,96,0.24047570509164737,0.1875,0.05297570509164737
overall,B_PLANT,4,0.3,0.4,69,0.3488388421213084,0.2318840579710145,0.1169547841502939
overall,B_PLANT,5,0.4,0.5,63,0.4483627078492183,0.4603174603174603,0.011954752468242014
overall,B_PLANT,6,0.5,0.6,42,0.5464874510270631,0.4523809523809524,0.0941064986461107
overall,B_PLANT,7,0.6,0.7,39,0.6479169008428144,0.5897435897435898,0.058173311099224634
overall,B_PLANT,8,0.7,0.8,25,0.7462677447220853,0.84,0.09373225527791462
overall,B_PLANT,9,0.8,0.9,21,0.8505634284150819,0.8095238095238095,0.04103961889127239
overall,B_PLANT,10,0.9,1.0,4,0.9135413171162993,1.0,0.08645868288370073
overall,NO_PLANT,1,0.0,0.1,53,0.07263668632237794,0.11320754716981132,0.04057086084743339
overall,NO_PLANT,2,0.1,0.2,151,0.15186039701877235,0.2052980132450331,0.053437616226260753
overall,NO_PLANT,3,0.2,0.3,142,0.25077852479229873,0.31690140845070425,0.06612288365840552
overall,NO_PLANT,4,0.3,0.4,171,0.347284974739546,0.34502923976608185,0.002255734973464152
overall,NO_PLANT,5,0.4,0.5,174,0.4496420570670755,0.4482758620689655,0.0013661949981099708
overall,NO_PLANT,6,0.5,0.6,150,0.5471902982422651,0.5666666666666667,0.01947636842440159
overall,NO_PLANT,7,0.6,0.7,106,0.6468254757354672,0.5377358490566038,0.10908962667886346
overall,NO_PLANT,8,0.7,0.8,99,0.7502127520400552,0.6262626262626263,0.12395012577742892
overall,NO_PLANT,9,0.8,0.9,86,0.8574857113955534,0.8023255813953488,0.05516013000020459
overall,NO_PLANT,10,0.9,1.0,136,0.9407223673345655,0.9632352941176471,0.022512926783081588
