scope,target,n,ece,max_bin_gap
overall,TOP_LABEL,1268,0.045444635018794324,0.12193418416557067
overall,A_PLANT,1268,0.05654455180406957,0.17003664845530142
overall,B_PLANT,1268,0.03538102851364656,0.1169547841502939
overall,NO_PLANT,1268,0.04321276114417062,0.12395012577742892
10s,TOP_LABEL,442,0.02797738000808694,0.08420209795063727
10s,A_PLANT,442,0.03612571524825653,
10s,B_PLANT,442,0.023226180694383657,
10s,NO_PLANT,442,0.020378061661169556,
20s,TOP_LABEL,373,0.047054049394517114,0.0939356463142057
20s,A_PLANT,373,0.062234464227115684,
20s,B_PLANT,373,0.04388020077156713,
20s,NO_PLANT,373,0.04038085832077911,
30s,TOP_LABEL,270,0.08529736928152606,0.1384662336340814
30s,A_PLANT,270,0.07919962354462898,
30s,B_PLANT,270,0.0471512319288031,
30s,NO_PLANT,270,0.07602704806451321,
40s,TOP_LABEL,183,0.03821286755338783,0.05246836118232168
40s,A_PLANT,183,0.042935939680329153,
40s,B_PLANT,183,0.047763304771032224,
40s,NO_PLANT,183,0.06601377569835958,
